competencia;uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
202603;26;1501;824;677;3624.430781041389;2145.255;147
202603;52;1318;633;685;3052.070151975684;2091.275;-52
202603;23;1279;710;569;3531.9239937353173;2000.0;141
202603;32;1168;630;538;3710.314137339056;2134.94;92
202603;51;769;418;351;2984.651419270833;2300.0;67
202603;15;655;330;325;2423.0204761904765;1780.0;5
202603;50;560;303;257;2669.9435009310987;1960.0;46
202603;13;558;273;285;4090.896379928316;2514.32;-12
202603;21;494;274;220;2210.834271255061;1721.0;54
202603;25;422;213;209;2835.1185273159144;1881.89;4
202603;28;388;208;180;2054.6986082474227;1704.53;28
202603;24;315;163;152;2235.328662420382;1726.54;11
202603;22;313;164;149;3009.2595145631067;1714.32;15
202603;27;270;117;153;2547.9786666666664;1651.155;-36
202603;11;269;146;123;2088.0246641791045;1773.0;23
202603;17;227;119;108;2274.0258149779734;1951.45;11
202603;16;142;96;46;2543.282042253521;1621.0;50
202603;12;89;44;45;2100.5994382022477;1621.0;-1
202603;14;84;45;39;1705.622738095238;1621.0;6
202604;35;24252;12251;12001;7495.704304830557;4409.655000000001;250
202604;31;5448;2808;2640;4548.776147631289;2500.0;168
202604;41;3795;1808;1987;4474.455155590717;2650.735;-179
202604;42;3664;1760;1904;5131.931289265228;3074.48;-144
202604;33;3597;1827;1770;4727.440506117909;2500.9300000000003;57
202604;43;3450;1843;1607;5191.470895652174;3000.0;236
202604;53;1833;958;875;5811.914469365427;4500.0;83
202604;26;1538;835;703;3865.423889250814;2204.69;132
202604;29;1521;807;714;3088.641495388669;1760.0;93
202604;23;1346;697;649;3764.5939553903354;2039.8;48
202604;52;1219;605;614;3366.5859277504105;2106.5;-9
202604;32;1065;556;509;3816.1617276995303;2270.64;47
202604;51;690;368;322;2834.1924238026127;2288.48;46
202604;15;624;295;329;2527.131701444622;1813.35;-34
202604;13;576;275;301;3745.814417391304;2371.45;-26
202604;50;517;231;286;2493.5625531914893;1957.87;-55
202604;22;369;178;191;2171.109287671233;1801.0;-13
202604;25;365;192;173;2604.6635989010992;1721.73;19
202604;21;336;167;169;2422.3960714285718;1754.29;-2
202604;24;332;183;149;2304.910121580547;1726.34;34
202604;28;320;173;147;2419.391536050157;1737.19;26
202604;27;253;149;104;2644.4395256917;1634.21;45
202604;11;213;98;115;2199.6481690140845;1773.0;-17
202604;17;187;93;94;2248.063422459893;2000.0;-1
202604;12;69;33;36;1862.3089855072465;1621.0;-3
202604;16;62;33;29;2381.5835483870965;1671.5;4
202604;14;47;26;21;2008.3436170212765;1732.15;5
202604;99;2;2;0;2809.0;2809.0;2
202605;35;21852;10672;11180;7436.322899331951;4485.62;-508
202605;31;5099;2537;2562;4473.28352004717;2500.0;-25
202605;33;3500;1733;1767;4877.265704064111;2571.575;-34
202605;41;3337;1578;1759;4429.732316926771;2700.0;-181
202605;42;3311;1599;1712;4996.8626164549305;3000.0;-113
202605;43;3008;1499;1509;5260.065286094477;3000.0;-10
202605;53;2065;977;1088;6500.8069346246975;5000.0;-111
202605;29;1379;708;671;2816.9751235465114;1765.865;37
202605;23;1317;651;666;3466.6696027501907;2049.75;-15
202605;26;1309;680;629;3999.5940446841296;2339.09;51
202605;52;1199;596;603;3109.5791569282137;2005.32;-7
202605;32;1076;573;503;4289.119140989729;2380.0;70
202605;15;718;412;306;2798.9635515320333;1933.25;106
202605;51;688;366;322;2855.987313868613;2302.61;44
202605;13;533;269;264;3904.598147448015;2500.0;5
202605;50;462;199;263;2757.479713024283;2000.0;-64
202605;21;391;208;183;2122.126923076923;1743.06;25
202605;25;356;186;170;3006.829353932584;1915.985;16
202605;22;325;147;178;2550.9898148148145;1716.245;-31
202605;24;320;183;137;2495.3659561128525;1726.54;46
202605;28;318;163;155;2716.778899371069;1764.03;8
202605;11;230;116;114;2281.2620869565217;1800.0;2
202605;27;220;124;96;2590.7988636363634;1688.77;28
202605;17;169;92;77;2349.7994047619045;1951.45;15
202605;16;114;71;43;2392.9038596491228;1637.21;28
202605;12;77;36;41;1911.0975324675328;1621.0;-5
202605;14;54;32;22;2143.9224074074077;1753.355;10
202605;99;2;2;0;2487.035;2487.035;2
202606;35;22806;11847;10959;7301.463476135963;4300.0;888
202606;31;5014;2377;2637;4522.304185953711;2500.0;-260
202606;33;3549;1741;1808;4975.354450084602;2620.0;-67
202606;42;3340;1777;1563;4899.525404433793;3000.0;214
